Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,FW_time,Bike_flow,CPU time=,96.12034893035889
Ex 7,48926181.42193636,0,2446.309071096818,[0 0 0 0 0 0],[0 0 0],0.010067224502563477,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 7,50509258.53843381,6000.0,2525.1629269216905,[0 0 0 0 0 0],[1 2 0],0.2248380184173584,"{'N001': {'N002': 124.5529886277265, 'N003': 0}}"
Ex 7,50634811.52706154,7000.0,2531.390576353077,[0 0 0 0 0 0],[1 4 0],0.22524189949035645,"{'N001': {'N002': 124.5529886277265, 'N003': 0}}"
Ex 7,50493095.44875239,6000.0,2524.3547724376194,[0 0 0 0 0 0],[1 0 3],0.12967872619628906,"{'N001': {'N002': 0, 'N003': 97.86741819070875}}"
Ex 7,50591962.8669431,7000.0,2529.248143347155,[0 0 0 0 0 0],[1 0 4],0.10525298118591309,"{'N001': {'N002': 0, 'N003': 97.86741819070875}}"
Ex 7,51992081.09070381,9000.0,2599.1540545351904,[0 0 0 0 0 0],[1 2 3],0.12502145767211914,"{'N001': {'N002': 117.32927328901398, 'N003': 93.4240564895961}}"
Ex 7,52086505.1471934,10000.0,2603.82525735967,[0 0 0 0 0 0],[1 2 4],0.12966561317443848,"{'N001': {'N002': 117.32927328901398, 'N003': 93.4240564895961}}"
Ex 7,52110410.363992825,10000.0,2605.020518199641,[0 0 0 0 0 0],[1 4 3],0.13998174667358398,"{'N001': {'N002': 117.32927328901398, 'N003': 93.4240564895961}}"
Ex 7,52204834.42048242,11000.0,2609.691721024121,[0 0 0 0 0 0],[1 4 4],0.13538169860839844,"{'N001': {'N002': 117.32927328901398, 'N003': 93.4240564895961}}"
Ex 7,50803205.675842516,20000.0,2539.160283792126,[1 0 0 0 0 0],[0 0 0],0.02472376823425293,"{'N001': {'N002': 0, 'N003': 0}}"
Ex 7,52184572.20734485,26000.0,2607.9286103672425,[1 0 0 0 0 0],[1 2 0],0.20773029327392578,"{'N001': {'N002': 128.81577955359734, 'N003': 0}}"
Ex 7,52314387.986898445,27000.0,2614.3693993449224,[1 0 0 0 0 0],[1 4 0],0.21227073669433594,"{'N001': {'N002': 128.81577955359734, 'N003': 0}}"
Ex 7,52071861.39525196,26000.0,2602.293069762598,[1 0 0 0 0 0],[1 0 3],0.2602405548095703,"{'N001': {'N002': 0, 'N003': 119.50939047076592}}"
Ex 7,52192370.785722725,27000.0,2608.2685392861363,[1 0 0 0 0 0],[1 0 4],0.24504995346069336,"{'N001': {'N002': 0, 'N003': 119.50939047076592}}"
Ex 7,53459366.13118791,29000.0,2671.5183065593956,[1 0 0 0 0 0],[1 2 3],0.1829376220703125,"{'N001': {'N002': 120.11355136498047, 'N003': 113.0903041430171}}"
Ex 7,53573456.43533093,30000.0,2677.1728217665463,[1 0 0 0 0 0],[1 2 4],0.18213200569152832,"{'N001': {'N002': 120.11355136498047, 'N003': 113.0903041430171}}"
