Ex_ID,sita,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,FW_time,Bike_flow
Ex 70,sita 3.1,48903150.10880677,6000,2444.857505440338,[0 0 0 0 0 0],[1 1 0],0.11169886589050293,"{'N001': {'N002': 2.706949282899675, 'N003': 0}}"
Ex 70,sita 3.2,48901611.28941492,6000,2444.780564470746,[0 0 0 0 0 0],[1 1 0],0.10597753524780273,"{'N001': {'N002': 2.568258922064587, 'N003': 0}}"
Ex 70,sita 3.3000000000000003,48899887.59223785,6000,2444.6943796118926,[0 0 0 0 0 0],[1 1 0],0.1037607192993164,"{'N001': {'N002': 2.452063412662226, 'N003': 0}}"
Ex 70,sita 3.4000000000000004,48898395.53011072,6000,2444.619776505536,[0 0 0 0 0 0],[1 1 0],0.10771298408508301,"{'N001': {'N002': 2.3503039266073267, 'N003': 0}}"
Ex 70,sita 3.5,48896885.28210722,6000,2444.544264105361,[0 0 0 0 0 0],[1 1 0],0.10172677040100098,"{'N001': {'N002': 2.2635574244618417, 'N003': 0}}"
Ex 70,sita 3.6,48895570.176254675,6000,2444.4785088127337,[0 0 0 0 0 0],[1 1 0],0.1127018928527832,"{'N001': {'N002': 2.188350065181297, 'N003': 0}}"
Ex 70,sita 3.7,48894800.28321868,6000,2444.440014160934,[0 0 0 0 0 0],[1 1 0],0.10423541069030762,"{'N001': {'N002': 2.1196993866695433, 'N003': 0}}"
Ex 70,sita 3.8000000000000003,48894406.4409657,6000,2444.420322048285,[0 0 0 0 0 0],[1 1 0],0.10375833511352539,"{'N001': {'N002': 2.037664920534092, 'N003': 0}}"
Ex 70,sita 3.9000000000000004,48893678.991008624,6000,2444.383949550431,[0 0 0 0 0 0],[1 1 0],0.1002359390258789,"{'N001': {'N002': 1.9853995069005408, 'N003': 0}}"
Ex 70,sita 4.0,48892680.23672775,6000,2444.3340118363876,[0 0 0 0 0 0],[1 1 0],0.10276222229003906,"{'N001': {'N002': 1.9372244414526274, 'N003': 0}}"
Ex 70,sita 4.1000000000000005,48892180.518655345,6000,2444.3090259327673,[0 0 0 0 0 0],[1 1 0],0.10073065757751465,"{'N001': {'N002': 1.8919354246934437, 'N003': 0}}"
Ex 70,sita 4.2,48891502.47819414,6000,2444.275123909707,[0 0 0 0 0 0],[1 1 0],0.09570884704589844,"{'N001': {'N002': 1.8529381170127972, 'N003': 0}}"
Ex 70,sita 4.3,48891093.66367256,6000,2444.254683183628,[0 0 0 0 0 0],[1 1 0],0.0997307300567627,"{'N001': {'N002': 1.816613676108482, 'N003': 0}}"
Ex 70,sita 4.4,48890543.347246125,6000,2444.2271673623063,[0 0 0 0 0 0],[1 1 0],0.10129690170288086,"{'N001': {'N002': 1.7829683581801674, 'N003': 0}}"
Ex 70,sita 4.5,48890088.93495403,6000,2444.2044467477017,[0 0 0 0 0 0],[1 1 0],0.09873557090759277,"{'N001': {'N002': 1.751766698207057, 'N003': 0}}"
Ex 70,sita 4.6000000000000005,48889570.473653816,6000,2444.178523682691,[0 0 0 0 0 0],[1 1 0],0.09674406051635742,"{'N001': {'N002': 1.7239641825589678, 'N003': 0}}"
Ex 70,sita 4.7,48889111.790639475,6000,2444.155589531974,[0 0 0 0 0 0],[1 1 0],0.10426545143127441,"{'N001': {'N002': 1.6970990635204584, 'N003': 0}}"
Ex 70,sita 4.800000000000001,48888703.56313229,6000,2444.1351781566145,[0 0 0 0 0 0],[1 1 0],0.09924530982971191,"{'N001': {'N002': 1.6714001043616333, 'N003': 0}}"
Ex 70,sita 4.9,48888040.390874326,6000,2444.1020195437163,[0 0 0 0 0 0],[1 1 0],0.09471631050109863,"{'N001': {'N002': 1.6486571742365124, 'N003': 0}}"
Ex 70,sita 5.0,48887883.58939063,6000,2444.0941794695314,[0 0 0 0 0 0],[1 1 0],0.0983431339263916,"{'N001': {'N002': 1.6276962140509528, 'N003': 0}}"
Ex 80,sita 0.1,162932695.801815,59000,8143.6847900907505,[0 1 0 0 1 1],[1 1 1],0.13663530349731445,"{'N001': {'N002': 2591.873351062778, 'N003': 2363.007553609121}}"
Ex 80,sita 0.2,168735611.58788657,59000,8433.83057939433,[0 1 0 0 1 1],[1 1 1],0.18753409385681152,"{'N001': {'N002': 2215.899909175776, 'N003': 2007.4739839045571}}"
Ex 80,sita 0.30000000000000004,179631347.56893623,59000,8978.617378446812,[0 1 0 0 1 1],[1 1 1],0.23935866355895996,"{'N001': {'N002': 1892.9948640111897, 'N003': 1703.4126989551046}}"
Ex 80,sita 0.4,193503415.1121007,44000,9672.970755605034,[0 0 0 0 1 1],[1 1 1],0.07679414749145508,"{'N001': {'N002': 1522.7867461447665, 'N003': 1372.1265722270425}}"
Ex 80,sita 0.5,206948000.33376864,44000,10345.200016688432,[0 0 0 0 1 1],[1 1 1],0.08975982666015625,"{'N001': {'N002': 1284.7504846404959, 'N003': 1156.6701794791102}}"
Ex 80,sita 0.6000000000000001,221194531.7719652,44000,11057.52658859826,[0 0 0 0 1 1],[1 1 1],0.07782888412475586,"{'N001': {'N002': 1090.3551496081905, 'N003': 982.9896693902895}}"
Ex 80,sita 0.7000000000000001,235449343.5774237,44000,11770.267178871185,[0 0 0 0 1 1],[1 1 1],0.08377337455749512,"{'N001': {'N002': 930.1277410740672, 'N003': 840.3530439179032}}"
Ex 80,sita 0.8,249069970.3799452,44000,12451.298518997259,[0 0 0 0 1 1],[1 1 1],0.08429574966430664,"{'N001': {'N002': 798.2215024495409, 'N003': 723.3658988692548}}"
Ex 80,sita 0.9,261894100.41599765,44000,13092.505020799883,[0 0 0 0 1 1],[1 1 1],0.10725688934326172,"{'N001': {'N002': 687.9348706054673, 'N003': 624.6885440551554}}"
Ex 80,sita 1.0,274565217.37974745,44000,13726.060868987373,[0 0 0 0 1 1],[1 1 1],0.14557242393493652,"{'N001': {'N002': 591.0486955669048, 'N003': 534.1033087041124}}"
Ex 80,sita 1.1,285079737.53873503,44000,14251.786876936752,[0 0 0 0 1 1],[1 1 1],0.13272619247436523,"{'N001': {'N002': 515.0235027450861, 'N003': 466.32485044838376}}"
Ex 80,sita 1.2000000000000002,294476860.76207185,44000,14721.643038103592,[0 0 0 0 1 1],[1 1 1],0.12067604064941406,"{'N001': {'N002': 451.2183493385826, 'N003': 409.1818489930367}}"
Ex 80,sita 1.3,303094972.696584,44000,15152.5486348292,[0 0 0 0 1 1],[1 1 1],0.14811325073242188,"{'N001': {'N002': 396.12422502988136, 'N003': 358.8882261931401}}"
Ex 80,sita 1.4000000000000001,310595798.3523998,44000,15527.589917619991,[0 0 0 0 1 1],[1 1 1],0.13368678092956543,"{'N001': {'N002': 350.0489424416539, 'N003': 317.057008405342}}"
Ex 80,sita 1.5,317454274.27784985,44000,15870.513713892493,[0 0 0 0 1 1],[1 1 1],0.17859911918640137,"{'N001': {'N002': 309.82821521741903, 'N003': 279.98917551486403}}"
Ex 80,sita 1.6,323578775.30003595,44000,16176.738765001797,[0 0 0 0 1 1],[1 1 1],0.1964735984802246,"{'N001': {'N002': 274.9614726109059, 'N003': 247.7201004396999}}"
Ex 80,sita 1.7000000000000002,329871437.5741072,39000,16491.621878705362,[0 0 0 1 1 0],[1 1 1],0.3614046573638916,"{'N001': {'N002': 238.01308172284783, 'N003': 208.76346795507106}}"
Ex 80,sita 1.8,334484813.9513351,39000,16722.290697566754,[0 0 0 1 1 0],[1 1 1],0.35962653160095215,"{'N001': {'N002': 212.51461975216884, 'N003': 186.0187058910845}}"
Ex 80,sita 1.9000000000000001,338687327.881401,39000,16932.41639407005,[0 0 0 1 1 0],[1 1 1],0.3987710475921631,"{'N001': {'N002': 189.8101175432595, 'N003': 165.61421007794576}}"
Ex 80,sita 2.0,342151649.57783794,44000,17105.382478891897,[0 0 0 0 1 1],[1 1 1],0.24698686599731445,"{'N001': {'N002': 174.82844051826783, 'N003': 155.18763865528973}}"
Ex 80,sita 2.1,345274381.5536835,44000,17261.519077684177,[0 0 0 0 1 1],[1 1 1],0.2323439121246338,"{'N001': {'N002': 158.64822246721533, 'N003': 140.71731707293145}}"
Ex 80,sita 2.2,348108448.6555476,44000,17403.22243277738,[0 0 0 0 1 1],[1 1 1],0.2264862060546875,"{'N001': {'N002': 144.05160984412396, 'N003': 127.60981196403063}}"
Ex 80,sita 2.3000000000000003,350571575.05152696,44000,17526.378752576347,[0 0 0 0 1 1],[1 1 1],0.2633676528930664,"{'N001': {'N002': 131.42769506597224, 'N003': 116.3552487851784}}"
Ex 80,sita 2.4000000000000004,352663532.6855123,29000,17631.726634275616,[0 0 0 0 0 1],[1 1 1],0.208479642868042,"{'N001': {'N002': 102.58953906818877, 'N003': 99.40139674356331}}"
Ex 80,sita 2.5,354281169.107773,29000,17712.60845538865,[0 0 0 0 0 1],[1 1 1],0.21741628646850586,"{'N001': {'N002': 94.8651570910273, 'N003': 91.42416655527816}}"
Ex 80,sita 2.6,356180386.12075794,24000,17807.819306037898,[0 0 0 1 0 0],[1 1 1],0.3955657482147217,"{'N001': {'N002': 83.71971240407828, 'N003': 79.15077337982582}}"
Ex 80,sita 2.7,357600005.15997654,24000,17878.800257998828,[0 0 0 1 0 0],[1 1 1],0.4356234073638916,"{'N001': {'N002': 76.98714811951741, 'N003': 72.503581866021}}"
Ex 80,sita 2.8000000000000003,359026381.22508943,29000,17949.86906125447,[0 0 0 0 0 1],[1 1 1],0.2653310298919678,"{'N001': {'N002': 72.19948857668244, 'N003': 68.5982110768403}}"
Ex 80,sita 2.9000000000000004,359780351.6384908,29000,17987.56758192454,[0 0 0 0 0 1],[1 1 1],0.26030588150024414,"{'N001': {'N002': 68.66748639155574, 'N003': 64.9633356335745}}"
Ex 80,sita 3.0,360706807.4934887,29000,18033.890374674436,[0 0 0 0 0 1],[1 1 1],0.29179954528808594,"{'N001': {'N002': 64.30140319436057, 'N003': 60.60289954316028}}"
Ex 80,sita 3.1,361251192.2224657,9000,18062.109611123284,[0 0 0 0 0 0],[1 1 1],0.39496946334838867,"{'N001': {'N002': 54.541408558325514, 'N003': 48.78283349807823}}"
Ex 80,sita 3.2,361873260.38920045,9000,18093.21301946002,[0 0 0 0 0 0],[1 1 1],0.3989691734313965,"{'N001': {'N002': 51.35403452868242, 'N003': 46.03227648442962}}"
Ex 80,sita 3.3000000000000003,362166402.3072208,9000,18107.870115361042,[0 0 0 0 0 0],[1 1 1],0.33905720710754395,"{'N001': {'N002': 49.77937243502628, 'N003': 44.77808557769474}}"
Ex 80,sita 3.4000000000000004,362531225.6564048,9000,18126.11128282024,[0 0 0 0 0 0],[1 1 1],0.361722469329834,"{'N001': {'N002': 47.882170994828044, 'N003': 43.181122070017516}}"
Ex 80,sita 3.5,362862872.5759713,9000,18142.693628798566,[0 0 0 0 0 0],[1 1 1],0.3880019187927246,"{'N001': {'N002': 46.168924929782605, 'N003': 41.7293168344953}}"
Ex 80,sita 3.6,363287784.731427,9000,18163.93923657135,[0 0 0 0 0 0],[1 1 1],0.3928518295288086,"{'N001': {'N002': 44.02261606264632, 'N003': 39.85021330385734}}"
Ex 80,sita 3.7,363591361.730841,9000,18179.11808654205,[0 0 0 0 0 0],[1 1 1],0.41599535942077637,"{'N001': {'N002': 42.47389319242764, 'N003': 38.513261073583934}}"
Ex 80,sita 3.8000000000000003,363825530.1911197,9000,18190.826509555984,[0 0 0 0 0 0],[1 1 1],0.38999462127685547,"{'N001': {'N002': 41.39546009686718, 'N003': 37.59844664236307}}"
Ex 80,sita 3.9000000000000004,364035170.9360893,9000,18201.308546804463,[0 0 0 0 0 0],[1 1 1],0.3949439525604248,"{'N001': {'N002': 40.32723367779767, 'N003': 36.67932790625989}}"
Ex 80,sita 4.0,364342764.5002299,9000,18216.688225011494,[0 0 0 0 0 0],[1 1 1],0.4209117889404297,"{'N001': {'N002': 38.779755142024264, 'N003': 35.30552700920773}}"
Ex 80,sita 4.1000000000000005,364540626.57705855,9000,18226.581328852928,[0 0 0 0 0 0],[1 1 1],0.450833797454834,"{'N001': {'N002': 37.75780780102932, 'N003': 34.41004653139041}}"
Ex 80,sita 4.2,364667424.76368946,9000,18232.921238184474,[0 0 0 0 0 0],[1 1 1],0.4346156120300293,"{'N001': {'N002': 37.13395217272017, 'N003': 33.874811208598906}}"
Ex 80,sita 4.3,364814995.9099663,9000,18240.299795498315,[0 0 0 0 0 0],[1 1 1],0.44301557540893555,"{'N001': {'N002': 36.39699362265661, 'N003': 33.228306418016075}}"
Ex 80,sita 4.4,365042111.1054614,9000,18251.65555527307,[0 0 0 0 0 0],[1 1 1],0.4284546375274658,"{'N001': {'N002': 35.23926983140949, 'N003': 32.188922159539125}}"
Ex 80,sita 4.5,365143385.19280076,9000,18256.71925964004,[0 0 0 0 0 0],[1 1 1],0.4733579158782959,"{'N001': {'N002': 34.76088059478089, 'N003': 31.77126310896515}}"
Ex 80,sita 4.6000000000000005,365341049.68482363,9000,18266.602484241183,[0 0 0 0 0 0],[1 1 1],0.4370229244232178,"{'N001': {'N002': 33.74309526529038, 'N003': 30.85345252507161}}"
Ex 80,sita 4.7,365411277.79447824,9000,18270.11388972391,[0 0 0 0 0 0],[1 1 1],0.45488524436950684,"{'N001': {'N002': 33.38748617551878, 'N003': 30.54190574726007}}"
Ex 80,sita 4.800000000000001,365499442.8021056,9000,18274.52214010528,[0 0 0 0 0 0],[1 1 1],0.46527624130249023,"{'N001': {'N002': 32.93122866126185, 'N003': 30.135136100592977}}"
Ex 80,sita 4.9,365696459.3389645,9000,18284.372966948227,[0 0 0 0 0 0],[1 1 1],0.46057605743408203,"{'N001': {'N002': 31.971976829441065, 'N003': 29.264284840330166}}"
Ex 80,sita 5.0,365747842.4481612,9000,18286.942122408058,[0 0 0 0 0 0],[1 1 1],0.47631072998046875,"{'N001': {'N002': 31.712566734647275, 'N003': 29.03461771058363}}"
Ex 90,sita 0.1,355789702.7516217,59000,17786.535137581086,[0 1 0 0 1 1],[1 1 1],0.1276566982269287,"{'N001': {'N002': 4047.2091888496707, 'N003': 3699.4584983290624}}"
Ex 90,sita 0.2,407179747.5485524,44000,20356.78737742762,[0 0 0 0 1 1],[1 1 1],0.07683253288269043,"{'N001': {'N002': 3585.340640434669, 'N003': 3237.4970806314127}}"
Ex 90,sita 0.30000000000000004,459456423.7970013,59000,22969.871189850066,[0 0 1 0 1 1],[1 1 1],0.07680463790893555,"{'N001': {'N002': 3280.169659678538, 'N003': 2932.59597561682}}"
Ex 90,sita 0.4,505464336.65957284,89000,25268.766832978643,[0 1 1 1 1 1],[1 1 1],0.02493429183959961,"{'N001': {'N002': 3208.660371038242, 'N003': 2925.232273712819}}"
Ex 90,sita 0.5,548253683.9406589,59000,27409.734197032947,[0 1 0 0 1 1],[1 1 1],0.01599264144897461,"{'N001': {'N002': 3029.6411733661525, 'N003': 2763.8929999672205}}"
Ex 90,sita 0.6000000000000001,585526731.5542638,74000,29272.63657771319,[0 1 1 0 1 1],[1 1 1],0.016953468322753906,"{'N001': {'N002': 2913.883389417403, 'N003': 2647.262209377894}}"
Ex 90,sita 0.7000000000000001,619350943.6355726,74000,30963.847181778627,[0 1 1 0 1 1],[1 1 1],0.016956806182861328,"{'N001': {'N002': 2809.3139650814696, 'N003': 2544.5149966315457}}"
Ex 90,sita 0.8,649027086.8788762,74000,32447.65434394381,[0 1 1 0 1 1],[1 1 1],0.01795053482055664,"{'N001': {'N002': 2724.3869656834477, 'N003': 2459.550452632693}}"
Ex 90,sita 0.9,675091812.054832,89000,33750.1406027416,[0 1 1 1 1 1],[1 1 1],0.021903514862060547,"{'N001': {'N002': 2659.540758768918, 'N003': 2395.5687832458193}}"
Ex 90,sita 1.0,697833438.4676117,89000,34887.22192338058,[0 1 1 1 1 1],[1 1 1],0.03191351890563965,"{'N001': {'N002': 2601.3482226479846, 'N003': 2336.49621134561}}"
Ex 90,sita 1.1,718117474.1830584,89000,35901.42370915292,[0 1 1 1 1 1],[1 1 1],0.019943952560424805,"{'N001': {'N002': 2551.491399698062, 'N003': 2285.63068925681}}"
Ex 90,sita 1.2000000000000002,736277352.9242876,89000,36809.41764621438,[0 1 1 1 1 1],[1 1 1],0.02389812469482422,"{'N001': {'N002': 2508.207540208712, 'N003': 2241.600116468775}}"
Ex 90,sita 1.3,752686831.4487082,89000,37629.89157243541,[0 1 1 1 1 1],[1 1 1],0.022897720336914062,"{'N001': {'N002': 2470.0392309856747, 'N003': 2203.039644049311}}"
Ex 90,sita 1.4000000000000001,767604781.5237674,89000,38375.78907618837,[0 1 1 1 1 1],[1 1 1],0.020899057388305664,"{'N001': {'N002': 2435.9658191959925, 'N003': 2169.0455764535905}}"
Ex 90,sita 1.5,781159971.6495931,89000,39053.548582479656,[0 1 1 1 1 1],[1 1 1],0.02018141746520996,"{'N001': {'N002': 2405.39164984221, 'N003': 2139.088845628971}}"
Ex 90,sita 1.6,793566435.0943415,89000,39673.871754717075,[0 1 1 1 1 1],[1 1 1],0.023968219757080078,"{'N001': {'N002': 2377.6267028022107, 'N003': 2112.5072414771585}}"
Ex 90,sita 1.7000000000000002,804917000.3194635,89000,40241.40001597317,[0 1 1 1 1 1],[1 1 1],0.020907163619995117,"{'N001': {'N002': 2352.3735555199346, 'N003': 2088.88199543323}}"
Ex 90,sita 1.8,815399777.5735435,89000,40765.53887867718,[0 1 1 1 1 1],[1 1 1],0.021976470947265625,"{'N001': {'N002': 2329.114689098341, 'N003': 2067.6953160819276}}"
Ex 90,sita 1.9000000000000001,825033526.9743713,89000,41247.22634871856,[0 1 1 1 1 1],[1 1 1],0.019909381866455078,"{'N001': {'N002': 2307.774463586448, 'N003': 2048.758279820564}}"
