Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,FW_time
Ex 7,52142733.08170436,42000.0,2605.0366540852183,[1 0 1 0 0 0],[1 4 0],0.2187023162841797
Ex 7,52088681.77992978,41000.0,2602.384088996489,[1 0 1 0 0 0],[1 0 3],0.20375466346740723
Ex 7,52209205.1383079,42000.0,2608.360256915395,[1 0 1 0 0 0],[1 0 4],0.20311594009399414
Ex 7,53267623.46475191,44000.0,2661.1811732375954,[1 0 1 0 0 0],[1 2 3],0.17179656028747559
Ex 7,53382192.86349445,45000.0,2666.8596431747224,[1 0 1 0 0 0],[1 2 4],0.1562495231628418
Ex 7,53405372.9301605,45000.0,2668.018646508025,[1 0 1 0 0 0],[1 4 3],0.15621495246887207
Ex 7,53519942.32890304,46000.0,2673.697116445152,[1 0 1 0 0 0],[1 4 4],0.1405937671661377
Ex 7,50805797.26003754,35000.0,2538.539863001877,[1 0 0 1 0 0],[0 0 0],0.015621423721313477
Ex 7,52219968.83249002,41000.0,2608.948441624501,[1 0 0 1 0 0],[1 2 0],0.25078272819519043
Ex 7,52349223.26611526,42000.0,2615.361163305763,[1 0 0 1 0 0],[1 4 0],0.24994277954101562
Ex 7,51886424.55736534,41000.0,2592.271227868267,[1 0 0 1 0 0],[1 0 3],0.28124427795410156
Ex 7,52023007.55404414,42000.0,2599.0503777022072,[1 0 0 1 0 0],[1 0 4],0.29022741317749023
Ex 7,53271418.403873675,44000.0,2661.3709201936836,[1 0 0 1 0 0],[1 2 3],0.22204971313476562
Ex 7,53400985.40499432,45000.0,2667.799270249716,[1 0 0 1 0 0],[1 2 4],0.2343137264251709
Ex 7,53392927.131342925,45000.0,2667.396356567146,[1 0 0 1 0 0],[1 4 3],0.21866607666015625
Ex 7,53522494.132463574,46000.0,2673.824706623179,[1 0 0 1 0 0],[1 4 4],0.23435497283935547
Ex 7,50868165.80623292,35000.0,2541.658290311646,[1 0 0 0 1 0],[0 0 0],0.01562356948852539
Ex 7,52029374.25909974,41000.0,2599.418712954987,[1 0 0 0 1 0],[1 2 0],0.28478217124938965
Ex 7,52176062.20429264,42000.0,2606.703110214632,[1 0 0 0 1 0],[1 4 0],0.2655630111694336
Ex 7,52127090.81709445,41000.0,2604.3045408547227,[1 0 0 0 1 0],[1 0 3],0.23431921005249023
Ex 7,52248056.4562671,42000.0,2610.3028228133553,[1 0 0 0 1 0],[1 0 4],0.2187032699584961
Ex 7,53314500.89197634,44000.0,2663.525044598817,[1 0 0 0 1 0],[1 2 3],0.28140711784362793
Ex 7,53428486.696286626,45000.0,2669.1743348143314,[1 0 0 0 1 0],[1 2 4],0.26560068130493164
Ex 7,53452574.83118902,45000.0,2670.378741559451,[1 0 0 0 1 0],[1 4 3],0.28119611740112305
Ex 7,53566560.63549932,46000.0,2676.028031774966,[1 0 0 0 1 0],[1 4 4],0.2850003242492676
Ex 7,50833496.998327866,40000.0,2539.674849916393,[1 0 0 0 0 1],[0 0 0],0.02094888687133789
Ex 7,52230625.155909486,46000.0,2609.2312577954744,[1 0 0 0 0 1],[1 2 0],0.16655254364013672
Ex 7,52360461.65476927,47000.0,2615.6730827384636,[1 0 0 0 0 1],[1 4 0],0.16456127166748047
Ex 7,52097945.03619526,46000.0,2602.5972518097633,[1 0 0 0 0 1],[1 0 3],0.20372629165649414
Ex 7,52218479.71905224,47000.0,2608.573985952612,[1 0 0 0 0 1],[1 0 4],0.21870064735412598
Ex 7,53484134.771055035,49000.0,2671.756738552752,[1 0 0 0 0 1],[1 2 3],0.15621137619018555
Ex 7,53598286.62718886,50000.0,2677.414331359443,[1 0 0 0 0 1],[1 2 4],0.1453695297241211
Ex 7,53605226.19807318,50000.0,2677.761309903659,[1 0 0 0 0 1],[1 4 3],0.15620160102844238
Ex 7,53719378.054207005,51000.0,2683.4189027103503,[1 0 0 0 0 1],[1 4 4],0.15621733665466309
Ex 7,51061630.48685923,30000.0,2551.5815243429615,[0 1 1 0 0 0],[0 0 0],0.015617132186889648
Ex 7,52210119.65014983,36000.0,2608.7059825074916,[0 1 1 0 0 0],[1 2 0],0.07810783386230469
Ex 7,52349913.13046467,37000.0,2615.645656523234,[0 1 1 0 0 0],[1 4 0],0.07810592651367188
Ex 7,52396334.48168139,36000.0,2618.0167240840697,[0 1 1 0 0 0],[1 0 3],0.2030775547027588
Ex 7,52513023.67306051,37000.0,2623.8011836530254,[0 1 1 0 0 0],[1 0 4],0.21866250038146973
Ex 7,53563452.42449521,39000.0,2676.2226212247606,[0 1 1 0 0 0],[1 2 3],0.1100764274597168
Ex 7,53675175.47628373,40000.0,2681.7587738141865,[0 1 1 0 0 0],[1 2 4],0.14059162139892578
Ex 7,53702546.41907409,40000.0,2683.1273209537044,[0 1 1 0 0 0],[1 4 3],0.10934972763061523
Ex 7,53814269.470862605,41000.0,2688.6634735431303,[0 1 1 0 0 0],[1 4 4],0.124969482421875
Ex 7,51105502.30259323,30000.0,2553.7751151296616,[0 1 0 1 0 0],[0 0 0],0.015621662139892578
Ex 7,52256292.810487255,36000.0,2611.0146405243627,[0 1 0 1 0 0],[1 2 0],0.07810616493225098
Ex 7,52398166.264193445,37000.0,2618.058313209672,[0 1 0 1 0 0],[1 4 0],0.10934829711914062
Ex 7,52419620.772214875,36000.0,2619.1810386107436,[0 1 0 1 0 0],[1 0 3],0.21869993209838867
Ex 7,52535599.99393763,37000.0,2624.929999696881,[0 1 0 1 0 0],[1 0 4],0.21841835975646973
Ex 7,53576545.2536304,39000.0,2676.87726268152,[0 1 0 1 0 0],[1 2 3],0.04686403274536133
Ex 7,53687070.54271734,40000.0,2682.353527135867,[0 1 0 1 0 0],[1 2 4],0.06245017051696777
Ex 7,53714745.86743609,40000.0,2683.7372933718043,[0 1 0 1 0 0],[1 4 3],0.062485456466674805
Ex 7,53825271.156523034,41000.0,2689.213557826152,[0 1 0 1 0 0],[1 4 4],0.04686403274536133
Ex 7,51061362.2677599,30000.0,2551.568113387995,[0 1 0 0 1 0],[0 0 0],0.015621423721313477
Ex 7,51909921.95694998,36000.0,2593.696097847499,[0 1 0 0 1 0],[1 2 0],0.07810640335083008
Ex 7,52074298.376872666,37000.0,2601.8649188436334,[0 1 0 0 1 0],[1 4 0],0.09372806549072266
Ex 7,52402822.29202343,36000.0,2618.3411146011713,[0 1 0 0 1 0],[1 0 3],0.29680562019348145
Ex 7,52518889.79578665,37000.0,2624.0944897893323,[0 1 0 0 1 0],[1 0 4],0.29868030548095703
Ex 7,53264429.18076263,39000.0,2661.2714590381315,[0 1 0 0 1 0],[1 2 3],0.20307397842407227
Ex 7,53374560.52240664,40000.0,2666.728026120332,[0 1 0 0 1 0],[1 2 4],0.18742132186889648
Ex 7,53421495.46582635,40000.0,2669.0747732913173,[0 1 0 0 1 0],[1 4 3],0.21874737739562988
Ex 7,53531626.80747035,41000.0,2674.5313403735177,[0 1 0 0 1 0],[1 4 4],0.20306706428527832
Ex 7,51064996.492555946,35000.0,2551.4998246277974,[0 1 0 0 0 1],[0 0 0],0.015618085861206055
Ex 7,52215441.11374463,41000.0,2608.7220556872317,[0 1 0 0 0 1],[1 2 0],0.0781095027923584
Ex 7,52355211.27202511,42000.0,2615.6605636012555,[0 1 0 0 0 1],[1 4 0],0.07891273498535156
Ex 7,52105671.528481916,41000.0,2603.2335764240956,[0 1 0 0 0 1],[1 0 3],0.19331789016723633
Ex 7,52244338.95473035,42000.0,2610.1169477365174,[0 1 0 0 0 1],[1 0 4],0.19447946548461914
Ex 7,53307306.23157431,44000.0,2663.165311578716,[0 1 0 0 0 1],[1 2 3],0.11070370674133301
Ex 7,53439525.019971535,45000.0,2669.7262509985767,[0 1 0 0 0 1],[1 2 4],0.10734128952026367
Ex 7,53447026.97398705,45000.0,2670.1013486993525,[0 1 0 0 0 1],[1 4 3],0.10934829711914062
Ex 7,53579245.76238425,46000.0,2676.6622881192125,[0 1 0 0 0 1],[1 4 4],0.1249690055847168
Ex 7,48979930.783145286,30000.0,2447.496539157264,[0 0 1 1 0 0],[0 0 0],0.015626192092895508
Ex 7,50565887.89220473,36000.0,2526.4943946102367,[0 0 1 1 0 0],[1 2 0],0.2844226360321045
Ex 7,50691464.750207715,37000.0,2532.723237510386,[0 0 1 1 0 0],[1 4 0],0.25421690940856934
Ex 7,50436060.889912054,36000.0,2520.003044495603,[0 0 1 1 0 0],[1 0 3],0.15358710289001465
Ex 7,50548411.78121038,37000.0,2525.570589060519,[0 0 1 1 0 0],[1 0 4],0.14860272407531738
Ex 7,51978857.3362331,39000.0,2596.992866811655,[0 0 1 1 0 0],[1 2 3],0.22104811668395996
Ex 7,52085909.45851747,40000.0,2602.2954729258736,[0 0 1 1 0 0],[1 2 4],0.23752236366271973
Ex 7,52097459.06842314,40000.0,2602.872953421157,[0 0 1 1 0 0],[1 4 3],0.2343602180480957
Ex 7,52204511.19070751,41000.0,2608.1755595353757,[0 0 1 1 0 0],[1 4 4],0.23427891731262207
Ex 7,48995220.990329705,30000.0,2448.2610495164854,[0 0 1 0 1 0],[0 0 0],0.015621423721313477
Ex 7,50349825.68495369,36000.0,2515.6912842476845,[0 0 1 0 1 0],[1 2 0],0.0937659740447998
Ex 7,50493719.53571073,37000.0,2522.8359767855363,[0 0 1 0 1 0],[1 4 0],0.07807064056396484
Ex 7,50559738.87425626,36000.0,2526.186943712813,[0 0 1 0 1 0],[1 0 3],0.10938596725463867
Ex 7,50658407.567495726,37000.0,2531.0703783747863,[0 0 1 0 1 0],[1 0 4],0.11021947860717773
Ex 7,51879685.49043069,39000.0,2592.0342745215344,[0 0 1 0 1 0],[1 2 3],0.07810330390930176
Ex 7,51974502.67332033,40000.0,2596.7251336660165,[0 0 1 0 1 0],[1 2 4],0.06244921684265137
Ex 7,52015237.092445485,40000.0,2598.7618546222743,[0 0 1 0 1 0],[1 4 3],0.07810807228088379
Ex 7,52110054.27533512,41000.0,2603.452713766756,[0 0 1 0 1 0],[1 4 4],0.062485456466674805
Ex 7,48971540.74408476,35000.0,2446.827037204238,[0 0 1 0 0 1],[0 0 0],0.015621185302734375
Ex 7,50550979.240520045,41000.0,2525.498962026002,[0 0 1 0 0 1],[1 2 0],0.1874709129333496
Ex 7,50676566.47450101,42000.0,2531.7283237250504,[0 0 1 0 0 1],[1 4 0],0.18747925758361816
Ex 7,50385183.78266419,41000.0,2517.2091891332093,[0 0 1 0 0 1],[1 0 3],0.062447309494018555
Ex 7,50502814.798522815,42000.0,2523.0407399261408,[0 0 1 0 0 1],[1 0 4],0.06252169609069824
Ex 7,51910437.22322946,44000.0,2593.321861161473,[0 0 1 0 0 1],[1 2 3],0.062483787536621094
Ex 7,52022954.05045255,45000.0,2598.8977025226277,[0 0 1 0 0 1],[1 2 4],0.0468292236328125
Ex 7,52029720.59338255,45000.0,2599.2360296691277,[0 0 1 0 0 1],[1 4 3],0.06252074241638184
Ex 7,52142237.42060566,46000.0,2604.811871030283,[0 0 1 0 0 1],[1 4 4],0.04748988151550293
Ex 7,49003548.82844743,30000.0,2448.6774414223714,[0 0 0 1 1 0],[0 0 0],0.015620708465576172
Ex 7,50388355.24665295,36000.0,2517.6177623326475,[0 0 0 1 1 0],[1 2 0],0.34366846084594727
Ex 7,50530825.557145394,37000.0,2524.6912778572696,[0 0 0 1 1 0],[1 4 0],0.34363293647766113
Ex 7,50459815.90552217,36000.0,2521.1907952761085,[0 0 0 1 1 0],[1 0 3],0.12497234344482422
Ex 7,50572293.68763908,37000.0,2526.764684381954,[0 0 0 1 1 0],[1 0 4],0.1249687671661377
Ex 7,51809676.44064558,39000.0,2588.533822032279,[0 0 0 1 1 0],[1 2 3],0.1414196491241455
Ex 7,51917974.14778549,40000.0,2593.8987073892745,[0 0 0 1 1 0],[1 2 4],0.1562209129333496
Ex 7,51946166.96681972,40000.0,2595.308348340986,[0 0 0 1 1 0],[1 4 3],0.15621018409729004
Ex 7,52054464.67395963,41000.0,2600.6732336979812,[0 0 0 1 1 0],[1 4 4],0.15621232986450195
Ex 7,48990203.964453764,35000.0,2447.7601982226884,[0 0 0 1 0 1],[0 0 0],0.015624046325683594
Ex 7,50571696.77915963,41000.0,2526.5348389579813,[0 0 0 1 0 1],[1 2 0],0.26552343368530273
Ex 7,50697316.81131375,42000.0,2532.7658405656875,[0 0 0 1 0 1],[1 4 0],0.23504018783569336
Ex 7,50407043.81022107,41000.0,2518.3021905110536,[0 0 0 1 0 1],[1 0 3],0.14059042930603027
Ex 7,50526191.60024048,42000.0,2524.2095800120237,[0 0 0 1 0 1],[1 0 4],0.15621399879455566
Ex 7,51940464.84979069,44000.0,2594.8232424895346,[0 0 0 1 0 1],[1 2 3],0.21869492530822754
Ex 7,52052296.77642896,45000.0,2600.364838821448,[0 0 0 1 0 1],[1 2 4],0.21870923042297363
Ex 7,52059168.27304829,45000.0,2600.7084136524145,[0 0 0 1 0 1],[1 4 3],0.21942782402038574
Ex 7,52171000.19968656,46000.0,2606.250009984328,[0 0 0 1 0 1],[1 4 4],0.23435568809509277
Ex 7,49004741.98378716,35000.0,2448.4870991893577,[0 0 0 0 1 1],[0 0 0],0.015621185302734375
Ex 7,50361563.748593174,41000.0,2516.028187429659,[0 0 0 0 1 1],[1 2 0],0.07810664176940918
Ex 7,50505443.81371942,42000.0,2523.172190685971,[0 0 0 0 1 1],[1 4 0],0.09372949600219727
Ex 7,50415462.35155887,41000.0,2518.7231175779434,[0 0 0 0 1 1],[1 0 3],0.10934758186340332
Ex 7,50532902.14228343,42000.0,2524.5451071141715,[0 0 0 0 1 1],[1 0 4],0.10934567451477051
Ex 7,51758770.71893685,44000.0,2585.7385359468426,[0 0 0 0 1 1],[1 2 3],0.10931921005249023
Ex 7,51871394.82152306,45000.0,2591.319741076153,[0 0 0 0 1 1],[1 2 4],0.09375858306884766
Ex 7,51894931.10050011,45000.0,2592.4965550250054,[0 0 0 0 1 1],[1 4 3],0.10934901237487793
Ex 7,52007555.20308632,46000.0,2598.077760154316,[0 0 0 0 1 1],[1 4 4],0.07901120185852051
Ex 7,53519146.756964244,50000.0,2673.4573378482123,[1 1 1 0 0 0],[0 0 0],0.015627384185791016
Ex 7,54430829.58803885,56000.0,2718.7414794019423,[1 1 1 0 0 0],[1 2 0],0.14058923721313477
Ex 7,54579732.82960414,57000.0,2726.136641480207,[1 1 1 0 0 0],[1 4 0],0.12497067451477051
Ex 7,54542618.73955698,56000.0,2724.330936977849,[1 1 1 0 0 0],[1 0 3],0.06248617172241211
Ex 7,54667305.29468356,57000.0,2730.515264734178,[1 1 1 0 0 0],[1 0 4],0.07810521125793457
Ex 7,55465300.24524109,59000.0,2770.3150122620546,[1 1 1 0 0 0],[1 2 3],0.04686594009399414
Ex 7,55581989.55747038,60000.0,2776.099477873519,[1 1 1 0 0 0],[1 2 4],0.04686307907104492
Ex 7,55605098.42093506,60000.0,2777.2549210467528,[1 1 1 0 0 0],[1 4 3],0.046864986419677734
Ex 7,55721787.73316434,61000.0,2783.039386658217,[1 1 1 0 0 0],[1 4 4],0.04686450958251953
Ex 7,53526938.1622937,50000.0,2673.846908114685,[1 1 0 1 0 0],[0 0 0],0.015616655349731445
Ex 7,54423513.13837798,56000.0,2718.375656918899,[1 1 0 1 0 0],[1 2 0],0.23432469367980957
Ex 7,54574063.28474569,57000.0,2725.8531642372845,[1 1 0 1 0 0],[1 4 0],0.23497772216796875
Ex 7,54280390.26127899,56000.0,2711.2195130639493,[1 1 0 1 0 0],[1 0 3],0.09372591972351074
Ex 7,54421723.80310673,57000.0,2718.2361901553368,[1 1 0 1 0 0],[1 0 4],0.09372544288635254
Ex 7,55283304.27684738,59000.0,2761.215213842369,[1 1 0 1 0 0],[1 2 3],0.1405937671661377
Ex 7,55416955.26718578,60000.0,2767.847763359289,[1 1 0 1 0 0],[1 2 4],0.1249690055847168
Ex 7,55425115.69618432,60000.0,2768.255784809216,[1 1 0 1 0 0],[1 4 3],0.1405949592590332
Ex 7,55558766.68652273,61000.0,2774.8883343261364,[1 1 0 1 0 0],[1 4 4],0.12497115135192871
Ex 7,53551924.08360912,50000.0,2675.096204180456,[1 1 0 0 1 0],[0 0 0],0.015616178512573242
Ex 7,54052183.573268846,56000.0,2699.8091786634423,[1 1 0 0 1 0],[1 2 0],0.17515850067138672
Ex 7,54225256.63664665,57000.0,2708.4128318323324,[1 1 0 0 1 0],[1 4 0],0.15372800827026367
Ex 7,54574956.135459214,56000.0,2725.9478067729606,[1 1 0 0 1 0],[1 0 3],0.10934329032897949
Ex 7,54700344.012456864,57000.0,2732.167200622843,[1 1 0 0 1 0],[1 0 4],0.09373021125793457
Ex 7,55183517.16888847,59000.0,2756.2258584444235,[1 1 0 0 1 0],[1 2 3],0.062484025955200195
Ex 7,55303078.020693935,60000.0,2762.153901034697,[1 1 0 0 1 0],[1 2 4],0.07811784744262695
Ex 7,55345825.101350084,60000.0,2764.291255067504,[1 1 0 0 1 0],[1 4 3],0.06247425079345703
Ex 7,55465385.95315556,61000.0,2770.219297657778,[1 1 0 0 1 0],[1 4 4],0.07810664176940918
Ex 7,53526475.30183418,55000.0,2673.573765091709,[1 1 0 0 0 1],[0 0 0],0.015626907348632812
Ex 7,54437602.71041182,61000.0,2718.830135520591,[1 1 0 0 0 1],[1 2 0],0.12496566772460938
Ex 7,54586458.61259153,62000.0,2726.2229306295762,[1 1 0 0 0 1],[1 4 0],0.12493538856506348
Ex 7,54284557.289920606,61000.0,2711.1778644960305,[1 1 0 0 0 1],[1 0 3],0.0781412124633789
Ex 7,54426223.066700414,62000.0,2718.2111533350208,[1 1 0 0 0 1],[1 0 4],0.06320571899414062
Ex 7,55243797.72906068,64000.0,2758.989886453034,[1 1 0 0 0 1],[1 2 3],0.04686427116394043
Ex 7,55376325.95345839,65000.0,2765.5662976729195,[1 1 0 0 0 1],[1 2 4],0.04686379432678223
Ex 7,55383890.652366005,65000.0,2765.9445326183004,[1 1 0 0 0 1],[1 4 3],0.06249642372131348
Ex 7,55516418.87676372,66000.0,2772.5209438381858,[1 1 0 0 0 1],[1 4 4],0.046853065490722656
Ex 7,51130778.60974707,45000.0,2554.2889304873534,[0 1 1 1 0 0],[0 0 0],0.015620946884155273
Ex 7,52277327.510937184,51000.0,2611.316375546859,[0 1 1 1 0 0],[1 2 0],0.09373688697814941
Ex 7,52419248.32673787,52000.0,2618.3624163368936,[0 1 1 1 0 0],[1 4 0],0.0937187671661377
Ex 7,52436687.809135154,51000.0,2619.2843904567576,[0 1 1 1 0 0],[1 0 3],0.21870017051696777
Ex 7,52552745.38620703,52000.0,2625.0372693103513,[0 1 1 1 0 0],[1 0 4],0.21869802474975586
Ex 7,53596705.2384873,54000.0,2677.1352619243653,[0 1 1 1 0 0],[1 2 3],0.04686450958251953
Ex 7,53707245.59647866,55000.0,2682.612279823933,[0 1 1 1 0 0],[1 2 4],0.062485456466674805
Ex 7,53734964.56593377,55000.0,2683.9982282966885,[0 1 1 1 0 0],[1 4 3],0.04757118225097656
Ex 7,53845504.923925124,56000.0,2689.475246196256,[0 1 1 1 0 0],[1 4 4],0.06251978874206543
Ex 7,51088738.8306867,45000.0,2552.1869415343353,[0 1 1 0 1 0],[0 0 0],0.015626192092895508
Ex 7,51931277.13042679,51000.0,2594.013856521339,[0 1 1 0 1 0],[1 2 0],0.07810425758361816
