Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,Best_iter,CPU_time,TM,SM,LO,L1,L2,L3,L4,L5,L6,L7,bike flow,acc_time
Ex 9,697833438.4676117,89000,34887.22192338058,[0 1 1 1 1 1],[1 1 1],55,5.413282632827759,"{'L0': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L6': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}}","{'L0': {'CONTINUE': 3, 'STOP': 1}, 'L1': {'CONTINUE': 1, 'STOP': 2}, 'L2': {'CONTINUE': 3, 'STOP': 1}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 1}, 'L5': {'CONTINUE': 2, 'STOP': 1}, 'L6': {'CONTINUE': 2, 'STOP': 3}, 'L7': {'CONTINUE': 3, 'STOP': 1}}",58,42,54,57,57,55,60,33,"{'N001': {'N002': 2601.3482226479846, 'N003': 2336.49621134561}}","[0, 3, 6, 55]"
Ex 9,697833438.4676117,89000,34887.22192338058,[0 1 1 1 1 1],[1 1 1],42,4.772674560546875,"{'L0': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 2, 'L7': 2}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L6': {'L0': 1, 'L1': 2, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}}","{'L0': {'CONTINUE': 4, 'STOP': 1}, 'L1': {'CONTINUE': 2, 'STOP': 2}, 'L2': {'CONTINUE': 5, 'STOP': 2}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 2}, 'L5': {'CONTINUE': 2, 'STOP': 1}, 'L6': {'CONTINUE': 6, 'STOP': 3}, 'L7': {'CONTINUE': 2, 'STOP': 3}}",61,51,62,46,45,45,72,27,"{'N001': {'N002': 2601.3482226479846, 'N003': 2336.49621134561}}","[0, 1, 3, 17, 32, 35, 36, 42]"
Ex 9,697833438.4676117,89000,34887.22192338058,[0 1 1 1 1 1],[1 1 1],44,5.849018096923828,"{'L0': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 3, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 2, 'L2': 3, 'L3': 2, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 3, 'STOP': 2}, 'L1': {'CONTINUE': 2, 'STOP': 3}, 'L2': {'CONTINUE': 6, 'STOP': 2}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 5, 'STOP': 2}, 'L5': {'CONTINUE': 1, 'STOP': 1}, 'L6': {'CONTINUE': 2, 'STOP': 1}, 'L7': {'CONTINUE': 1, 'STOP': 2}}",52,67,71,49,62,43,40,16,"{'N001': {'N002': 2601.3482226479846, 'N003': 2336.49621134561}}","[0, 1, 6, 9, 12, 43, 44]"
Ex 9,697833438.4676117,89000,34887.22192338058,[0 1 1 1 1 1],[1 1 1],44,6.235367059707642,"{'L0': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 2, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 3}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 3, 'L7': 1}, 'L6': {'L0': 4, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 2}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 3, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 4, 'STOP': 3}, 'L1': {'CONTINUE': 4, 'STOP': 2}, 'L2': {'CONTINUE': 3, 'STOP': 1}, 'L3': {'CONTINUE': 3, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 2}, 'L5': {'CONTINUE': 4, 'STOP': 2}, 'L6': {'CONTINUE': 6, 'STOP': 4}, 'L7': {'CONTINUE': 3, 'STOP': 2}}",53,59,42,43,37,59,81,28,"{'N001': {'N002': 2601.3482226479846, 'N003': 2336.49621134561}}","[0, 1, 2, 3, 20, 21, 26, 42, 43, 44]"
Ex 9,697833438.4676117,89000,34887.22192338058,[0 1 1 1 1 1],[1 1 1],21,4.215769529342651,"{'L0': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 1}, 'L1': {'CONTINUE': 1, 'STOP': 2}, 'L2': {'CONTINUE': 3, 'STOP': 3}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 1, 'STOP': 1}, 'L5': {'CONTINUE': 1, 'STOP': 1}, 'L6': {'CONTINUE': 2, 'STOP': 1}, 'L7': {'CONTINUE': 1, 'STOP': 1}}",55,57,76,52,51,55,61,31,"{'N001': {'N002': 2601.3482226479846, 'N003': 2336.49621134561}}","[0, 5, 8, 21]"
Ex 9,699979699.0842034,74000,34995.28495421017,[0 1 1 0 1 1],[1 1 1],39,5.146510124206543,"{'L0': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 3}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 3, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 2}, 'L1': {'CONTINUE': 2, 'STOP': 2}, 'L2': {'CONTINUE': 4, 'STOP': 3}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 1, 'STOP': 1}, 'L5': {'CONTINUE': 2, 'STOP': 1}, 'L6': {'CONTINUE': 5, 'STOP': 1}, 'L7': {'CONTINUE': 2, 'STOP': 2}}",48,48,56,36,52,53,55,42,"{'N001': {'N002': 2592.6028023765875, 'N003': 2319.377646621258}}","[0, 2, 9, 18, 35, 39]"
Ex 9,697833438.4676117,89000,34887.22192338058,[0 1 1 1 1 1],[1 1 1],17,4.506154775619507,"{'L0': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 1}, 'L2': {'L0': 1, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L6': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L7': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}}","{'L0': {'CONTINUE': 4, 'STOP': 2}, 'L1': {'CONTINUE': 3, 'STOP': 2}, 'L2': {'CONTINUE': 3, 'STOP': 2}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 3, 'STOP': 2}, 'L5': {'CONTINUE': 2, 'STOP': 2}, 'L6': {'CONTINUE': 3, 'STOP': 1}, 'L7': {'CONTINUE': 3, 'STOP': 2}}",65,43,51,57,49,44,49,34,"{'N001': {'N002': 2601.3482226479846, 'N003': 2336.49621134561}}","[0, 1, 2, 4, 7, 14, 17]"
Ex 9,697833438.4676117,89000,34887.22192338058,[0 1 1 1 1 1],[1 1 1],23,5.506760120391846,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L2': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 1, 'STOP': 1}, 'L1': {'CONTINUE': 2, 'STOP': 1}, 'L2': {'CONTINUE': 3, 'STOP': 3}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 2}, 'L5': {'CONTINUE': 2, 'STOP': 1}, 'L6': {'CONTINUE': 2, 'STOP': 2}, 'L7': {'CONTINUE': 2, 'STOP': 2}}",47,56,64,58,44,49,55,34,"{'N001': {'N002': 2601.3482226479846, 'N003': 2336.49621134561}}","[0, 1, 5, 10, 11, 23]"
Ex 9,699979699.0842034,74000,34995.28495421017,[0 1 1 0 1 1],[1 1 1],114,5.225822687149048,"{'L0': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L2': {'L0': 5, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 2, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L5': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 2, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 4}, 'L1': {'CONTINUE': 2, 'STOP': 2}, 'L2': {'CONTINUE': 6, 'STOP': 2}, 'L3': {'CONTINUE': 2, 'STOP': 2}, 'L4': {'CONTINUE': 2, 'STOP': 1}, 'L5': {'CONTINUE': 3, 'STOP': 1}, 'L6': {'CONTINUE': 4, 'STOP': 2}, 'L7': {'CONTINUE': 1, 'STOP': 2}}",49,46,56,50,40,70,59,27,"{'N001': {'N002': 2592.6028023765875, 'N003': 2319.377646621258}}","[0, 1, 3, 9, 13, 15, 110, 111, 114]"
Ex 9,697833438.4676117,89000,34887.22192338058,[0 1 1 1 1 1],[1 1 1],136,4.218400239944458,"{'L0': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 3, 'L5': 1, 'L6': 1, 'L7': 2}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 1}, 'L1': {'CONTINUE': 3, 'STOP': 2}, 'L2': {'CONTINUE': 6, 'STOP': 2}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 3, 'STOP': 2}, 'L5': {'CONTINUE': 1, 'STOP': 2}, 'L6': {'CONTINUE': 1, 'STOP': 1}, 'L7': {'CONTINUE': 1, 'STOP': 2}}",52,47,54,49,50,63,50,37,"{'N001': {'N002': 2601.3482226479846, 'N003': 2336.49621134561}}","[0, 4, 8, 11, 85, 136]"
