Ex_ID,Best_cost,Constr_cost,Travel_time,Best_lane,Best_station,Best_iter,CPU_time,TM,SM,LO,L1,L2,L3,L4,L5,L6,L7,bike flow,acc_time,total_generations
Ex 2,388427047.5065723,76300,19417.537375328615,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1],77,300.47592520713806,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 3, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 1}, 'L1': {'CONTINUE': 2, 'STOP': 1}, 'L2': {'CONTINUE': 3, 'STOP': 2}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 3, 'STOP': 1}, 'L5': {'CONTINUE': 1, 'STOP': 1}, 'L6': {'CONTINUE': 3, 'STOP': 3}, 'L7': {'CONTINUE': 1, 'STOP': 2}}",205,217,244,222,264,209,272,134,"{'N001': {'N002': 613.9662909539346, 'N003': 260.6952653561774}, 'N004': {'N002': 482.17505658048, 'N003': 249.83621858845902}}","[0, 14, 17, 67, 77]",641
Ex 2,388427047.5065723,76300,19417.537375328615,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1],36,300.4752233028412,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 1}, 'L1': {'CONTINUE': 1, 'STOP': 1}, 'L2': {'CONTINUE': 2, 'STOP': 2}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 3, 'STOP': 1}, 'L5': {'CONTINUE': 1, 'STOP': 2}, 'L6': {'CONTINUE': 3, 'STOP': 2}, 'L7': {'CONTINUE': 1, 'STOP': 2}}",207,207,253,209,237,246,291,165,"{'N001': {'N002': 613.9662909539346, 'N003': 260.6952653561774}, 'N004': {'N002': 482.17505658048, 'N003': 249.83621858845902}}","[0, 8, 11, 12, 36]",616
Ex 2,388427047.5065723,76300,19417.537375328615,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1],121,301.1631360054016,"{'L0': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L1': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 3}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 3}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 3, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 3, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 3, 'STOP': 3}, 'L1': {'CONTINUE': 5, 'STOP': 3}, 'L2': {'CONTINUE': 3, 'STOP': 1}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 5, 'STOP': 2}, 'L5': {'CONTINUE': 1, 'STOP': 1}, 'L6': {'CONTINUE': 6, 'STOP': 1}, 'L7': {'CONTINUE': 3, 'STOP': 4}}",231,222,217,190,229,200,215,165,"{'N001': {'N002': 613.9662909539346, 'N003': 260.6952653561774}, 'N004': {'N002': 482.17505658048, 'N003': 249.83621858845902}}","[0, 1, 4, 7, 9, 18, 27, 105, 121]",621
Ex 2,388427047.5065723,76300,19417.537375328615,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1],328,300.85076785087585,"{'L0': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L2': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 3, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 2}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 3, 'L6': 1, 'L7': 2}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 1}, 'L1': {'CONTINUE': 2, 'STOP': 2}, 'L2': {'CONTINUE': 3, 'STOP': 3}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 1}, 'L5': {'CONTINUE': 5, 'STOP': 3}, 'L6': {'CONTINUE': 4, 'STOP': 1}, 'L7': {'CONTINUE': 2, 'STOP': 2}}",225,205,266,209,213,224,189,138,"{'N001': {'N002': 613.9662909539346, 'N003': 260.6952653561774}, 'N004': {'N002': 482.17505658048, 'N003': 249.83621858845902}}","[0, 17, 20, 22, 56, 325, 328]",638
Ex 2,387284795.6514834,233800,19352.54978257417,[0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1],[1 1 1 1],327,301.16314482688904,"{'L0': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 4, 'L7': 1}, 'L2': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 2, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 1, 'L7': 1}, 'L5': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 2, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L7': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 3, 'STOP': 2}, 'L1': {'CONTINUE': 5, 'STOP': 1}, 'L2': {'CONTINUE': 5, 'STOP': 4}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 4, 'STOP': 2}, 'L5': {'CONTINUE': 2, 'STOP': 1}, 'L6': {'CONTINUE': 5, 'STOP': 3}, 'L7': {'CONTINUE': 2, 'STOP': 2}}",215,196,245,196,203,214,205,119,"{'N001': {'N002': 670.8309520132126, 'N003': 268.2503823025211}, 'N004': {'N002': 492.3237399447125, 'N003': 255.4135353671197}}","[0, 22, 23, 38, 49, 67, 79, 272, 327]",584
Ex 2,387284795.6514834,233800,19352.54978257417,[0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1],[1 1 1 1],333,300.8350074291229,"{'L0': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 2}, 'L1': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 2}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L4': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 3, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 3, 'STOP': 2}, 'L1': {'CONTINUE': 2, 'STOP': 1}, 'L2': {'CONTINUE': 4, 'STOP': 2}, 'L3': {'CONTINUE': 2, 'STOP': 1}, 'L4': {'CONTINUE': 3, 'STOP': 1}, 'L5': {'CONTINUE': 1, 'STOP': 1}, 'L6': {'CONTINUE': 5, 'STOP': 3}, 'L7': {'CONTINUE': 2, 'STOP': 2}}",220,204,215,202,239,196,243,142,"{'N001': {'N002': 670.8309520132126, 'N003': 268.2503823025211}, 'N004': {'N002': 492.3237399447125, 'N003': 255.4135353671197}}","[0, 10, 12, 24, 35, 333]",607
Ex 2,387284795.6514834,233800,19352.54978257417,[0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1],[1 1 1 1],310,301.1005713939667,"{'L0': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 2}, 'L1': {'L0': 1, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L2': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L6': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 4, 'STOP': 2}, 'L1': {'CONTINUE': 4, 'STOP': 1}, 'L2': {'CONTINUE': 3, 'STOP': 5}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 3}, 'L5': {'CONTINUE': 3, 'STOP': 1}, 'L6': {'CONTINUE': 3, 'STOP': 2}, 'L7': {'CONTINUE': 3, 'STOP': 1}}",234,175,227,171,178,209,196,122,"{'N001': {'N002': 670.8309520132126, 'N003': 268.2503823025211}, 'N004': {'N002': 492.3237399447125, 'N003': 255.4135353671197}}","[0, 8, 9, 10, 16, 24, 262, 272, 310]",575
Ex 2,387284795.6514834,233800,19352.54978257417,[0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1],[1 1 1 1],133,300.5850667953491,"{'L0': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L1': {'L0': 2, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 2, 'L5': 2, 'L6': 1, 'L7': 1}, 'L2': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 2}, 'L5': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 3, 'STOP': 2}, 'L1': {'CONTINUE': 5, 'STOP': 1}, 'L2': {'CONTINUE': 3, 'STOP': 3}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 3, 'STOP': 2}, 'L5': {'CONTINUE': 2, 'STOP': 2}, 'L6': {'CONTINUE': 1, 'STOP': 1}, 'L7': {'CONTINUE': 1, 'STOP': 3}}",217,192,228,212,223,223,199,125,"{'N001': {'N002': 670.8309520132126, 'N003': 268.2503823025211}, 'N004': {'N002': 492.3237399447125, 'N003': 255.4135353671197}}","[0, 2, 3, 4, 5, 29, 66, 133]",564
Ex 2,388427047.5065723,76300,19417.537375328615,[0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0],[1 1 1 1],445,300.69441270828247,"{'L0': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 2, 'L6': 1, 'L7': 1}, 'L1': {'L0': 2, 'L1': 1, 'L2': 4, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L5': {'L0': 1, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 3, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 2, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 3, 'STOP': 3}, 'L1': {'CONTINUE': 5, 'STOP': 1}, 'L2': {'CONTINUE': 2, 'STOP': 5}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 2, 'STOP': 1}, 'L5': {'CONTINUE': 5, 'STOP': 3}, 'L6': {'CONTINUE': 2, 'STOP': 2}, 'L7': {'CONTINUE': 1, 'STOP': 1}}",264,193,254,218,255,225,263,138,"{'N001': {'N002': 613.9662909539346, 'N003': 260.6952653561774}, 'N004': {'N002': 482.17505658048, 'N003': 249.83621858845902}}","[0, 7, 8, 13, 19, 32, 242, 429, 443, 445]",632
Ex 2,387661178.72479844,263000,19369.90893623992,[0 0 0 0 0 1 0 0 0 0 1 0 0 1 0 0 0 0 1],[1 1 1 1],546,300.53820180892944,"{'L0': {'L0': 2, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L1': {'L0': 2, 'L1': 2, 'L2': 2, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L2': {'L0': 1, 'L1': 1, 'L2': 3, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 2, 'L7': 1}, 'L3': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L4': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L5': {'L0': 3, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L6': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}, 'L7': {'L0': 1, 'L1': 1, 'L2': 1, 'L3': 1, 'L4': 1, 'L5': 1, 'L6': 1, 'L7': 1}}","{'L0': {'CONTINUE': 2, 'STOP': 5}, 'L1': {'CONTINUE': 4, 'STOP': 1}, 'L2': {'CONTINUE': 4, 'STOP': 2}, 'L3': {'CONTINUE': 1, 'STOP': 1}, 'L4': {'CONTINUE': 1, 'STOP': 1}, 'L5': {'CONTINUE': 3, 'STOP': 1}, 'L6': {'CONTINUE': 1, 'STOP': 2}, 'L7': {'CONTINUE': 1, 'STOP': 1}}",248,227,234,187,202,201,213,133,"{'N001': {'N002': 673.8684595233747, 'N003': 283.3995941688108}, 'N004': {'N002': 495.3221855841859, 'N003': 257.55890311607743}}","[0, 7, 10, 64, 79, 258, 546]",571
